id,value,feature
15574,film,content_type
5695,film,content_type
10566,film,content_type
1529,film,content_type
9728,film,content_type
14317,film,content_type
13865,film,content_type
9561,film,content_type
5471,series,content_type
9996,series,content_type
12173,film,content_type
3936,film,content_type
12743,film,content_type
10533,film,content_type
7793,film,content_type
488,film,content_type
6404,film,content_type
13424,film,content_type
16361,film,content_type
14151,film,content_type
11239,film,content_type
7626,film,content_type
1843,film,content_type
8251,film,content_type
4155,series,content_type
11749,film,content_type
6590,series,content_type
2583,film,content_type
598,film,content_type
6898,film,content_type
12692,film,content_type
15214,film,content_type
3734,film,content_type
8931,film,content_type
8208,film,content_type
3359,film,content_type
7210,film,content_type
218,series,content_type
15037,film,content_type
9855,film,content_type
7612,film,content_type
24,series,content_type
2720,series,content_type
2301,film,content_type
11118,film,content_type
11245,series,content_type
12204,film,content_type
16043,film,content_type
9424,film,content_type
9986,series,content_type
3787,series,content_type
6443,series,content_type
7114,1,release_year_bin
4880,4,release_year_bin
9842,2,release_year_bin
15297,4,release_year_bin
12849,1,release_year_bin
8585,3,release_year_bin
3282,0,release_year_bin
10440,4,release_year_bin
6660,2,release_year_bin
7890,1,release_year_bin
4179,2,release_year_bin
4442,2,release_year_bin
3601,1,release_year_bin
11640,2,release_year_bin
5754,2,release_year_bin
14526,4,release_year_bin
15574,4,release_year_bin
5695,3,release_year_bin
10566,2,release_year_bin
1529,3,release_year_bin
9728,4,release_year_bin
14317,3,release_year_bin
13865,4,release_year_bin
9561,1,release_year_bin
5471,1,release_year_bin
9996,4,release_year_bin
12173,3,release_year_bin
3936,3,release_year_bin
12743,1,release_year_bin
10533,0,release_year_bin
7793,3,release_year_bin
488,4,release_year_bin
6404,0,release_year_bin
13424,3,release_year_bin
16361,3,release_year_bin
14151,0,release_year_bin
11239,2,release_year_bin
7626,3,release_year_bin
1843,3,release_year_bin
8251,3,release_year_bin
4155,1,release_year_bin
11749,3,release_year_bin
6590,2,release_year_bin
2583,2,release_year_bin
598,4,release_year_bin
6898,0,release_year_bin
12692,2,release_year_bin
15214,2,release_year_bin
3734,4,release_year_bin
8931,3,release_year_bin
8208,3,release_year_bin
3359,4,release_year_bin
7210,3,release_year_bin
218,2,release_year_bin
15037,2,release_year_bin
9855,2,release_year_bin
7612,1,release_year_bin
24,4,release_year_bin
2720,3,release_year_bin
2301,2,release_year_bin
11118,4,release_year_bin
11245,2,release_year_bin
12204,1,release_year_bin
16043,3,release_year_bin
9424,1,release_year_bin
9986,4,release_year_bin
3787,1,release_year_bin
6443,3,release_year_bin
7114,испания,country
4880,россия,country
9842,испания,country
15297,россия,country
12849,сша,country
8585,канада,country
3282,япония,country
10440,россия,country
6660,сша,country
6660,гонконг,country
7890,республика корея,country
4179,испания,country
4442,япония,country
4442,сингапур,country
3601,сша,country
11640,россия,country
5754,сша,country
14526,россия,country
15574,сша,country
5695,великобритания,country
5695,сша,country
10566,сша,country
1529,великобритания,country
1529,сша,country
9728,великобритания,country
9728,сша,country
14317,сша,country
13865,россия,country
9561,великобритания,country
5471,сша,country
9996,россия,country
12173,сша,country
3936,сша,country
12743,сша,country
10533,швеция,country
7793,сша,country
488,франция,country
6404,великобритания,country
6404,сша,country
6404,румыния,country
13424,сша,country
16361,сша,country
14151,сша,country
11239,япония,country
7626,сша,country
1843,франция,country
8251,россия,country
4155,сша,country
11749,сша,country
6590,республика корея,country
2583,франция,country
598,россия,country
6898,германия,country
12692,великобритания,country
12692,сша,country
15214,великобритания,country
3734,россия,country
8931,сша,country
8208,исландия,country
3359,италия,country
7210,сша,country
218,сша,country
15037,сша,country
9855,сша,country
7612,сша,country
24,германия,country
2720,сша,country
2301,великобритания,country
2301,сша,country
2301,венгрия,country
11118,сша,country
11245,япония,country
12204,сша,country
16043,великобритания,country
9424,великобритания,country
9424,франция,country
9986,республика корея,country
3787,япония,country
6443,финляндия,country
6443,германия,country
7114,21.0,age_rating
4880,18.0,age_rating
9842,16.0,age_rating
15297,18.0,age_rating
12849,12.0,age_rating
8585,18.0,age_rating
3282,16.0,age_rating
10440,18.0,age_rating
6660,16.0,age_rating
7890,16.0,age_rating
4179,21.0,age_rating
4442,16.0,age_rating
3601,16.0,age_rating
11640,16.0,age_rating
5754,16.0,age_rating
14526,12.0,age_rating
15574,16.0,age_rating
5695,16.0,age_rating
10566,21.0,age_rating
1529,16.0,age_rating
9728,18.0,age_rating
14317,16.0,age_rating
13865,12.0,age_rating
9561,16.0,age_rating
5471,16.0,age_rating
9996,16.0,age_rating
12173,16.0,age_rating
3936,16.0,age_rating
12743,0.0,age_rating
10533,21.0,age_rating
7793,16.0,age_rating
488,16.0,age_rating
6404,16.0,age_rating
13424,18.0,age_rating
16361,18.0,age_rating
14151,12.0,age_rating
11239,16.0,age_rating
7626,16.0,age_rating
1843,12.0,age_rating
8251,12.0,age_rating
4155,16.0,age_rating
11749,6.0,age_rating
6590,16.0,age_rating
2583,18.0,age_rating
598,6.0,age_rating
6898,12.0,age_rating
12692,18.0,age_rating
15214,16.0,age_rating
3734,16.0,age_rating
8931,21.0,age_rating
8208,12.0,age_rating
3359,16.0,age_rating
7210,16.0,age_rating
218,16.0,age_rating
15037,21.0,age_rating
9855,21.0,age_rating
7612,12.0,age_rating
24,16.0,age_rating
2720,16.0,age_rating
2301,16.0,age_rating
11118,18.0,age_rating
11245,16.0,age_rating
12204,16.0,age_rating
16043,12.0,age_rating
9424,12.0,age_rating
9986,16.0,age_rating
3787,0.0,age_rating
6443,16.0,age_rating
